city,level,population,households,school,college,hospital,doctors,clinic,dentist,restaurant,fast_food,supermarket,convenience,park,platform,station
北斗市,7,44366,22247,20,0,0,1,0,3,7,6,6,11,68,13,9
当別町,7,15329,7733,5,0,0,0,2,0,1,0,0,0,10,8,4
新篠津村,7,2853,1360,3,0,0,0,0,0,0,0,0,0,1,0,0
福島町,7,3571,1948,4,0,0,0,0,0,0,0,1,2,2,0,0
知内町,7,3983,2025,5,0,0,0,0,0,0,0,0,1,1,0,0
木古内町,7,3728,2060,2,0,1,0,0,0,2,1,2,4,0,8,4
七飯町,7,27934,14140,13,0,2,3,0,0,8,1,2,4,19,7,5
鹿部町,7,3649,1852,2,0,2,0,0,2,13,0,1,10,3,19,1
八雲町,7,15050,8038,19,0,2,1,0,0,3,0,3,7,14,18,6
長万部町,7,4880,2784,5,0,1,1,0,0,5,0,1,4,2,6,5
江差町,7,6971,4137,7,0,4,0,0,4,28,2,2,6,7,1,0
上ノ国町,7,4362,2398,12,0,2,0,0,3,8,0,1,2,0,2,0
厚沢部町,7,3500,1815,5,0,2,0,0,1,6,1,1,2,22,9,0
乙部町,7,3331,1791,4,0,1,0,0,0,1,0,0,0,1,0,0
奥尻町,7,2346,1477,6,0,0,1,0,1,7,0,0,1,6,0,0
今金町,7,4775,2424,4,0,2,0,0,0,0,0,0,1,4,0,0
せたな町,7,7147,3944,8,0,3,1,0,0,0,0,0,1,13,0,0
島牧村,7,1312,763,2,0,1,0,0,0,0,0,0,0,0,0,0
寿都町,7,2738,1632,4,0,0,0,0,0,0,0,0,2,2,0,0
黒松内町,7,2612,1446,5,0,0,0,1,0,2,0,1,1,2,0,2
蘭越町,7,4493,2345,4,0,0,0,0,0,1,0,0,2,1,0,3
ニセコ町,7,5088,2717,3,1,0,0,0,1,28,0,1,4,3,20,1
真狩村,7,1937,953,6,0,1,0,0,0,2,0,0,2,3,0,0
留寿都村,7,1886,1027,6,0,0,0,0,0,8,1,1,6,4,0,0
喜茂別町,7,1988,1175,1,0,1,0,0,0,5,0,1,3,22,2,0
京極町,7,2844,1448,5,0,1,0,0,0,2,0,0,2,3,0,0
倶知安町,7,15636,8961,12,0,6,5,9,2,108,1,4,18,2,48,2
共和町,7,5508,2750,5,0,0,0,0,0,1,0,1,4,3,1,1
岩内町,7,11343,6451,3,0,1,0,0,1,16,0,1,9,29,28,0
泊村,7,1498,872,2,0,0,0,0,0,0,0,0,0,0,0,0
神恵内村,7,782,458,3,0,0,0,0,0,1,0,0,0,0,1,0
積丹町,7,1824,1033,6,0,0,0,0,0,17,0,1,1,0,1,0
古平町,7,2720,1656,0,0,0,0,0,0,4,0,2,3,6,0,0
仁木町,7,3128,1678,4,0,0,0,0,0,0,0,0,1,4,0,3
余市町,7,17561,9584,9,0,1,0,1,1,13,1,6,10,14,2,1
赤井川村,7,1106,632,3,0,0,0,0,0,4,0,0,0,2,0,0
南幌町,7,7546,3570,5,0,0,0,0,0,4,0,1,7,14,2,0
奈井江町,7,4966,2670,6,0,0,0,0,0,1,0,0,2,14,0,1
上砂川町,7,2578,1572,2,0,2,1,0,0,0,0,0,0,4,0,0
由仁町,7,4783,2347,2,0,0,0,0,1,10,0,0,2,8,0,4
長沼町,7,10158,4914,3,0,1,0,0,0,5,1,3,6,20,2,0
栗山町,7,11107,5783,5,0,1,0,2,0,22,0,2,5,29,0,1
月形町,7,2864,1563,2,0,1,0,0,0,0,0,0,0,1,2,0
浦臼町,7,1651,799,2,0,0,0,0,0,0,0,0,0,1,2,0
